,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
26481,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Sim
26482,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
26527,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
26600,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
26718,Alugado,Sim,Sim,Sim,Sim,Não,Sim
26721,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
26781,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
26795,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
26816,Alugado,Sim,Sim,Não,Sim,Sim,Não
27912,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
27929,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
28067,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
28350,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
28402,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
28675,Alugado,Sim,Sim,Sim,Sim,Não,Sim
28676,Alugado,Sim,Sim,Sim,Sim,Não,Sim
28687,Próprio-Pago,Sim,Nao,,,,
28755,Próprio-Pago,Sim,Nao,,,,
28761,Próprio-NPago,Sim,Sim,Sim,Não,Não,Sim
28763,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
28925,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29026,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29043,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
29045,Próprio-Pago,Sim,Nao,,,,
29058,Próprio-Pago,Sim,Nao,,,,
29062,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29070,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
29248,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29251,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29254,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29256,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
29259,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
29262,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29334,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
29349,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
29408,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
29409,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
29420,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
